N_Sequence, N_Jour, heure_debut, duree, N_Classe, N_Matiere
312,2, 09:30, 01:00,6,8
313,2, 10:30, 01:30,6,14
315,2, 13:00, 01:00,6,4
316,2, 14:00, 01:00,6,6
318,2, 16:00, 01:00,6,1
319,2, 17:00, 01:00,6,7
321,3, 08:30, 01:00,6,6
322,3, 09:30, 01:00,6,11
323,3, 10:30, 02:00,6,17
331,4, 08:30, 01:00,6,9
332,4, 09:30, 01:00,6,10
333,4, 10:30, 01:00,6,6
335,4, 13:00, 01:00,6,16
336,4, 14:00, 01:00,6,8
337,4, 15:00, 01:00,6,2
338,4, 16:00, 01:00,6,16
339,4, 17:00, 01:00,6,2
341,5, 08:30, 01:00,6,6
342,5, 09:30, 01:00,6,6
343,5, 10:30, 02:00,6,5
346,5, 14:00, 01:00,6,13
347,5, 15:00, 01:00,6,16
348,5, 16:00, 01:00,6,2
350,5, 18:00, 01:00,6,1
352,6, 09:30, 01:00,6,10
353,6, 10:30, 01:00,6,10
354,6, 11:30, 01:00,6,18
361,1, 08:30, 01:00,7,10
362,1, 09:30, 01:00,7,20
363,1, 10:30, 01:00,7,2
365,1, 13:00, 01:00,7,6
366,1, 14:00, 01:00,7,3
367,1, 15:00, 01:00,7,11
368,1, 16:00, 02:00,7,6
370,1, 18:00, 01:00,7,21
371,2, 08:30, 01:00,7,6
372,2, 09:30, 01:00,7,16
373,2, 10:30, 01:00,7,8
375,2, 13:00, 01:00,7,8
376,2, 14:30, 01:30,7,14
378,2, 16:00, 01:00,7,10
379,2, 17:00, 01:00,7,7
382,3, 09:30, 01:00,7,16
383,3, 10:30, 02:00,7,17
391,4, 08:30, 01:00,7,9
392,4, 09:30, 01:00,7,2
393,4, 10:30, 01:00,7,8
394,4, 12:00, 01:00,7,1
395,4, 13:00, 01:00,7,10
396,4, 14:00, 01:00,7,10
397,4, 15:00, 01:30,7,11
398,4, 16:30, 01:30,7,15
400,4, 18:00, 01:00,7,9
401,5, 08:30, 01:00,7,20
402,5, 09:30, 01:00,7,10
403,5, 10:30, 02:00,7,5
406,5, 14:00, 01:00,7,6
407,5, 15:00, 01:00,7,3
408,5, 16:00, 01:00,7,2
409,5, 17:00, 01:00,7,4
410,5, 18:00, 01:00,7,1
411,6, 08:30, 01:00,7,18
412,6, 09:30, 01:00,7,9
413,6, 10:30, 01:00,7,13
414,6, 11:30, 01:00,7,4
421,1, 08:30, 01:00,8,9
422,1, 09:30, 01:00,8,6
423,1, 10:30, 01:00,8,11
424,1, 11:30, 01:30,8,14
426,1, 14:00, 01:00,8,11
427,1, 15:00, 01:00,8,16
428,1, 16:00, 01:00,8,2
431,2, 08:30, 02:00,8,10
433,2, 10:30, 01:00,8,8
435,2, 13:00, 01:00,8,2
436,2, 14:00, 01:00,8,10
437,2, 15:00, 01:00,8,4
439,2, 17:00, 01:00,8,7
441,3, 08:30, 01:00,8,9
442,3, 09:30, 01:00,8,16
443,3, 10:30, 02:00,8,17
451,4, 08:30, 01:00,8,18
452,4, 09:30, 01:00,8,13
453,4, 10:30, 01:00,8,6
455,4, 13:00, 01:00,8,6
456,4, 14:00, 01:00,8,2
457,4, 15:00, 01:00,8,16
458,4, 16:00, 01:00,8,10
461,5, 08:30, 01:00,8,5
462,5, 09:30, 01:00,8,6
463,5, 10:30, 01:00,8,8
465,5, 13:00, 01:00,8,8
466,5, 14:00, 01:00,8,10
470,5, 18:00, 01:00,8,1
